action,drug,reward,terminated
193,"[('Bicalutamide', 0.5, 'uM')]",0.6613333333333333,False
955,"[('Simotinib', 0.05, 'uM')]",0.6606666666666667,False
121,"[('Atazanavir (sulfate)', 0.5, 'uM')]",0.659982905982906,False
914,"[('Ropivacaine (hydrochloride monohydrate)', 0.5, 'uM')]",0.6597606837606838,False
553,"[('Imiquimod (maleate)', 0.05, 'uM')]",0.658957264957265,False
349,"[('Dexmedetomidine', 0.05, 'uM')]",0.6587863247863248,False
782,"[('Pasireotide (acetate)', 0.5, 'uM')]",0.6587008547008547,False
326,"[('Dapagliflozin', 0.5, 'uM')]",0.6583589743589744,False
1058,"[('Trimetrexate', 0.5, 'uM')]",0.6581196581196581,False
214,"[('Brimonidine', 0.5, 'uM')]",0.6573846153846155,False
617,"[('Lenalidomide (hemihydrate)', 0.5, 'uM')]",0.6571794871794872,False
568,"[('Irinotecan', 0.05, 'uM')]",0.6568376068376068,False
911,"[('Ritonavir', 0.5, 'uM')]",0.6563931623931624,False
724,"[('Niclosamide (olamine)', 0.05, 'uM')]",0.6562051282051282,False
1091,"[('Vilanterol', 0.5, 'uM')]",0.6561025641025642,False
1067,"[('Tucidinostat', 0.5, 'uM')]",0.6558803418803418,False
412,"[('Entecavir (monohydrate)', 0.05, 'uM')]",0.6548888888888889,False
16,"[('5-Fluorouracil', 0.5, 'uM')]",0.6541367521367522,False
452,"[('Filgotinib', 0.5, 'uM')]",0.6534358974358974,False
787,"[('Pemigatinib', 0.05, 'uM')]",0.6533504273504274,False
7,"[('18β-Glycyrrhetinic acid', 0.5, 'uM')]",0.6531282051282051,False
505,"[('Gemcitabine', 0.05, 'uM')]",0.6525128205128206,False
88,"[('Amsacrine', 0.5, 'uM')]",0.6521880341880342,False
548,"[('Idoxuridine', 0.5, 'uM')]",0.6515897435897435,False
521,"[('HI-TOPK-032', 0.5, 'uM')]",0.6511282051282051,False
1073,"[('Uridine', 0.5, 'uM')]",0.6510598290598291,False
757,"[('Ouabain (Octahydrate)', 0.05, 'uM')]",0.6503247863247863,False
1102,"[('Volasertib', 0.05, 'uM')]",0.6502905982905982,False
545,"[('Idarubicin (hydrochloride)', 0.5, 'uM')]",0.6502393162393163,False
127,"[('Azithromycin (hydrate)', 0.5, 'uM')]",0.6498974358974359,False
1097,"[('Vismodegib', 0.5, 'uM')]",0.6494871794871795,False
355,"[('Digitoxin', 0.05, 'uM')]",0.6491965811965812,False
1009,"[('Thymopentin', 0.05, 'uM')]",0.6490940170940172,False
1120,"[('crizotinib', 0.05, 'uM')]",0.6490940170940172,False
586,"[('L-Eflornithine (monohydrochloride)', 0.05, 'uM')]",0.6489230769230769,False
1012,"[('Tirabrutinib (hydrochloride)', 0.05, 'uM')]",0.6488376068376068,False
219,"[('Budesonide', 0.05, 'uM')]",0.6485982905982905,False
983,"[('TAK-901', 0.5, 'uM')]",0.6485641025641026,False
725,"[('Niclosamide (olamine)', 0.5, 'uM')]",0.6481538461538461,False
1007,"[('Thymol', 0.5, 'uM')]",0.6481025641025642,False
220,"[('Budesonide', 0.5, 'uM')]",0.6478461538461538,False
509,"[('Gemfibrozil', 0.5, 'uM')]",0.6478461538461538,False
485,"[('Furosemide', 0.5, 'uM')]",0.6476752136752137,False
947,"[('Selinexor ', 0.5, 'uM')]",0.6475726495726496,False
106,"[('Artemether', 0.5, 'uM')]",0.6475555555555556,False
769,"[('PH-797804', 0.05, 'uM')]",0.6475042735042735,False
665,"[('Medroxyprogesterone acetate', 0.5, 'uM')]",0.6473162393162393,False
147,"[('Belumosudil (mesylate)', 0.05, 'uM')]",0.6470085470085469,False
11,"[('4EGI-1', 5.0, 'uM')]",0.6465128205128206,False
175,"[('Berberine (chloride hydrate)', 0.5, 'uM')]",0.6457435897435897,False
797,"[('Pentamidine (isethionate)', 0.5, 'uM')]",0.6457435897435897,False
424,"[('Erdafitinib ', 0.05, 'uM')]",0.6456410256410257,False
1126,"[('palbociclib', 0.05, 'uM')]",0.6455213675213676,False
105,"[('Artemether', 0.05, 'uM')]",0.6455042735042735,False
115,"[('Aspirin', 0.5, 'uM')]",0.6453504273504274,False
802,"[('Peretinoin', 0.05, 'uM')]",0.6453333333333333,False
431,"[('Erythromycin', 0.5, 'uM')]",0.6452649572649573,False
1030,"[('Tomivosertib', 0.05, 'uM')]",0.644974358974359,False
52,"[('Acetohexamide', 0.5, 'uM')]",0.6448547008547009,False
934,"[('Sacubitril/Valsartan', 0.05, 'uM')]",0.6443931623931625,False
1052,"[('Triclosan', 0.5, 'uM')]",0.6443247863247863,False
256,"[('Cepharanthine', 0.5, 'uM')]",0.6439145299145299,False
39,"[('AZD2858', 0.05, 'uM')]",0.6438803418803418,False
1025,"[('Tolcapone', 0.5, 'uM')]",0.6437948717948718,False
699,"[('Monocrotaline', 5.0, 'uM')]",0.6436410256410257,False
390,"[('ERK5-IN-2', 5.0, 'uM')]",0.6434529914529914,False
268,"[('Cinacalcet', 0.5, 'uM')]",0.6434188034188034,False
668,"[('Megestrol', 0.5, 'uM')]",0.6434188034188034,False
601,"[('LY2090314', 0.05, 'uM')]",0.6433846153846154,False
1019,"[('Tofacitinib (citrate)', 0.5, 'uM')]",0.6433846153846154,False
959,"[('Sinomenine', 0.5, 'uM')]",0.6431794871794871,False
875,"[('Raltitrexed', 0.5, 'uM')]",0.6431623931623931,False
1,"[('(R)-Verapamil (hydrochloride)', 0.5, 'uM')]",0.6430940170940171,False
927,"[('Rutin (trihydrate)', 5.0, 'uM')]",0.6427692307692308,False
129,"[('BAY1125976', 0.05, 'uM')]",0.6426837606837608,False
1115,"[('Zileuton', 0.5, 'uM')]",0.6426495726495727,False
671,"[('Meloxicam', 0.5, 'uM')]",0.6426153846153846,False
862,"[('Quinidine (15% dihydroquinidine)', 0.05, 'uM')]",0.6424786324786325,False
530,"[('Hexylresorcinol', 0.5, 'uM')]",0.6424615384615384,False
181,"[('Bestatin (hydrochloride)', 0.5, 'uM')]",0.6422222222222222,False
799,"[('Pentoxifylline', 0.05, 'uM')]",0.6420683760683761,False
827,"[('Piroxicam', 0.5, 'uM')]",0.6420683760683761,False
380,"[('Doxorubicin (hydrochloride)', 0.5, 'uM')]",0.641965811965812,False
421,"[('Eplerenone', 0.05, 'uM')]",0.6418632478632479,False
112,"[('Asciminib', 0.5, 'uM')]",0.6415726495726496,False
436,"[('Estrone sulfate (potassium)', 0.05, 'uM')]",0.6414700854700854,False
841,"[('Pralsetinib', 0.05, 'uM')]",0.6414358974358975,False
1022,"[('Tofacitinib', 0.5, 'uM')]",0.6411282051282051,False
58,"[('Adenine', 0.5, 'uM')]",0.6410769230769231,False
316,"[('Dabrafenib', 0.05, 'uM')]",0.641025641025641,False
234,"[('Canagliflozin', 0.05, 'uM')]",0.6409230769230769,False
9,"[('4EGI-1', 0.05, 'uM')]",0.6408205128205129,False
479,"[('Fulvestrant', 0.5, 'uM')]",0.6407863247863248,False
652,"[('ML264', 0.05, 'uM')]",0.6406324786324786,False
1106,"[('Voriconazole', 0.5, 'uM')]",0.6406153846153846,False
642,"[('Lucanthone', 5.0, 'uM')]",0.6405811965811965,False
